time,open,high,low,close,tick_volume,spread,real_volume
2026-01-14 10:50:00,4635.53,4636.53,4632.88,4635.04,1079,0,0
2026-01-14 11:00:00,4634.91,4638.72,4633.42,4638.14,1111,0,0
2026-01-14 11:10:00,4638.15,4639.62,4635.5,4639.19,1148,0,0
2026-01-14 11:20:00,4639.17,4639.44,4636.5,4637.63,1015,0,0
2026-01-14 11:30:00,4637.6,4637.87,4630.14,4630.36,1026,0,0
2026-01-14 11:40:00,4630.38,4630.64,4627.24,4629.69,1211,0,0
2026-01-14 11:50:00,4629.9,4631.92,4628.02,4630.7,1145,0,0
2026-01-14 12:00:00,4630.59,4632.51,4627.96,4630.04,958,0,0
2026-01-14 12:10:00,4630.07,4635.02,4628.28,4634.9,899,0,0
2026-01-14 12:20:00,4634.94,4637.1,4632.29,4635.08,1017,0,0
2026-01-14 12:30:00,4634.94,4636.84,4632.53,4636.61,1018,0,0
2026-01-14 12:40:00,4636.58,4638.27,4633.4,4633.83,1078,0,0
2026-01-14 12:50:00,4633.82,4635.98,4631.41,4633.17,1101,0,0
2026-01-14 13:00:00,4633.19,4636.67,4630.47,4635.26,1069,0,0
2026-01-14 13:10:00,4635.23,4637.57,4634.61,4634.95,951,0,0
2026-01-14 13:20:00,4634.99,4636.59,4629.39,4630.36,1124,0,0
2026-01-14 13:30:00,4630.37,4632.86,4627.57,4630.09,1097,0,0
2026-01-14 13:40:00,4630.29,4631.71,4628.54,4629.61,834,0,0
2026-01-14 13:50:00,4629.59,4631.59,4626.25,4630.44,1104,0,0
2026-01-14 14:00:00,4630.44,4638.25,4630.37,4637.19,1500,0,0
2026-01-14 14:10:00,4637.11,4638.57,4634.13,4636.16,1171,0,0
2026-01-14 14:20:00,4636.24,4639.04,4634.52,4636.29,1016,0,0
2026-01-14 14:30:00,4636.26,4638.31,4634.62,4635.38,1247,0,0
2026-01-14 14:40:00,4635.45,4636.68,4633.88,4636.06,1101,0,0
2026-01-14 14:50:00,4636.06,4641.88,4634.83,4638.77,1188,0,0
2026-01-14 15:00:00,4638.86,4641.58,4629.83,4629.86,1800,0,0
2026-01-14 15:10:00,4630.0,4633.08,4627.54,4628.64,1782,0,0
2026-01-14 15:20:00,4628.23,4635.33,4627.84,4631.54,1541,0,0
2026-01-14 15:30:00,4632.01,4633.75,4624.78,4633.13,1746,0,0
2026-01-14 15:40:00,4633.14,4637.35,4631.22,4634.38,1562,0,0
2026-01-14 15:50:00,4634.18,4636.55,4629.59,4635.8,1519,0,0
2026-01-14 16:00:00,4635.89,4638.89,4629.82,4633.26,1638,0,0
2026-01-14 16:10:00,4633.26,4635.51,4630.61,4635.17,1568,0,0
2026-01-14 16:20:00,4635.17,4638.13,4633.03,4635.36,1475,0,0
2026-01-14 16:30:00,4635.5,4635.5,4617.62,4618.81,1879,0,0
2026-01-14 16:40:00,4618.76,4624.06,4607.54,4607.85,1915,0,0
2026-01-14 16:50:00,4608.02,4619.33,4606.98,4617.77,1849,0,0
2026-01-14 17:00:00,4617.52,4617.52,4599.56,4605.22,1895,0,0
2026-01-14 17:10:00,4605.2,4623.13,4603.98,4622.08,1850,0,0
2026-01-14 17:20:00,4622.03,4626.69,4614.65,4615.69,1844,0,0
2026-01-14 17:30:00,4615.57,4620.38,4610.11,4620.34,1782,0,0
2026-01-14 17:40:00,4620.12,4622.01,4611.81,4613.3,1681,0,0
2026-01-14 17:50:00,4613.33,4619.38,4610.7,4618.01,1714,0,0
2026-01-14 18:00:00,4618.03,4621.61,4615.69,4616.23,1595,0,0
2026-01-14 18:10:00,4616.24,4621.32,4615.2,4621.0,1618,0,0
2026-01-14 18:20:00,4621.04,4624.89,4619.54,4621.88,1621,0,0
2026-01-14 18:30:00,4621.83,4623.25,4615.08,4617.49,1657,0,0
2026-01-14 18:40:00,4617.44,4618.48,4611.35,4611.35,1693,0,0
2026-01-14 18:50:00,4611.24,4617.61,4608.72,4617.16,1662,0,0
2026-01-14 19:00:00,4617.21,4619.19,4610.07,4614.8,1651,0,0
2026-01-14 19:10:00,4614.84,4617.42,4611.29,4613.44,1598,0,0
2026-01-14 19:20:00,4613.46,4614.48,4605.72,4611.43,1619,0,0
2026-01-14 19:30:00,4611.43,4612.16,4605.9,4608.64,1649,0,0
2026-01-14 19:40:00,4608.66,4611.38,4601.26,4611.35,1725,0,0
2026-01-14 19:50:00,4611.37,4616.72,4609.1,4614.41,1703,0,0
2026-01-14 20:00:00,4614.4,4622.69,4612.91,4621.02,1593,0,0
2026-01-14 20:10:00,4621.0,4629.46,4620.43,4627.22,1585,0,0
